Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
G01A	0.0499484568802703	0	0	0.0647442317795809	0	0.193958860401795	0.0455785002740479	0	0.109691869211678	0	0.128284619040415	0	0.0363112720271017	0.126818047098354	0.0299447869408287	0.067715997140504	0	0.0314914489281013	0	0.0442005858695373	0.0296470672360963	0.0416642571716897	0	0.45102446710961	0.89162843696484
G02A	0.127021638577797	0	0	0.0542681477135484	0	0.130059803848779	0.0331679995520194	0	0.0668900716921549	0	0.0519243360431948	0	0.0822626837197585	0.0919995629760182	0.0214400477364407	0.10178109124097	0	0	0.11483883934029	0	0	0.12434577755903	0	0.66104214653403	0.788558701125688
G04A	0.0396855926276567	0.0334770193336615	0.0364123014831652	0.0411036464773701	0	0.35214405488942	0.0552140994751463	0	0.0353544023057773	0	0.125212870350707	0	0.0312429187660992	0.0486005333043633	0.0223573160983128	0.084963173488131	0.00789336345917899	0.0216712749386803	0	0.0434568971325588	0.00339045871615033	0.0178200771536211	0	0.641721155150338	0.788052543143105
G06A	0.030169318967813	0	0.00759564774037197	0.0860200141783071	0	0.217145573044499	0.0596736755011791	0	0.0149525528921714	0	0.0826704025308615	0	0.0629174894685489	0.100679909275226	0.00668481652026749	0.101687917665461	0	0.00714177495506098	0	0.10998199545246	0	0.112678911807772	0	0.495873671314526	0.868434518256197
G07A	0.0325708781057796	0	0	0	0	0.0624105299811893	0	0.00375429199666757	0.0195864427317517	0	0.044043678923108	0	0.0952523606364662	0.04887989179192	4.71786392188841e-05	0.0121354607893548	0	0.00619196416016177	0	0.241350749736391	0	0.433776572507991	0	0.723177856333127	0.69237580917868
G08A	0.0253220061690298	0.00328466807336742	0.00097509667016659	0.120406230901273	0	0.137196039787236	0.0303989130793547	0	0.0565665304334881	0	0.102383811949214	0	0.125602921122491	0.0269441019092936	0.0175471324727182	0.208625157217559	0.00563333849735462	0.00123481223717045	0.0665777135121581	0.0261797824285069	0	0.0451217435396181	0	0.470054539092452	0.882766672417698
G09A	0.0746688075858676	0	0	0.0415277497664111	0	0.115842634125199	0	0.0571452819579532	0.0923010828224286	0.044790319323914	0.0570126253073885	0.0276369835288503	0.0825733034612155	0.0308868231059348	0.0248308006011496	0.16295846527368	0.0142466885284151	0.00551996481432109	0.119367125027561	0	0.00890932645139502	0.039782018318315	0	0.577529809178382	0.832316723734948
G10A	0.0446205681611135	0	0.000153444248806339	0.157917575884717	0	0.202643630421915	0.077441755104692	0.0166600974941167	0.117910223602494	0	0.100951003409744	0	0.0419165795855535	0.0743934962475764	0.022199662455449	0.0774317355868261	0	0.0183077447682955	0.0165600634439427	0.0112966106825503	0.00694612531628423	0.0126496835859243	0	0.645400204999285	0.779372438660284
G11A	0.030741654535273	0	0	0.0336064837916244	0	0.213464312008452	0.0335011642123597	0	0.0364799535972424	0	0.0566719004976471	0	0.0758151968970216	0.103103303627505	0.0159785307210683	0.124392126132268	0	0.00553558981304259	0	0.151194243672562	0	0.119515540493934	0	0.684989758085977	0.761015051299742
G12A	0.0387368819784954	0	0	0.126683558883363	0	0.145001104512474	0.115663386863477	0.00783481648095753	0.071835033589813	0	0.0652919420324251	0	0.0491383537230726	0.0730138418021562	0.0275483063375373	0.0817283721794665	0	0.0693577396630336	0.0623344767909807	0.0233824696070101	0.0136214480816431	0.0288282674740953	0	0.428104910687279	0.902907743638716
